epoch,sensor,link,log type,data,SST
1739686305.67,1,DATA,SOFT2,2653,2829
1739686363.59,3,DATA,SOFT2,532,2710
1739686363.61,1,DATA,SOFT2,587,2827
1739686363.78,2,DATA,SOFT2,656,2847
1739686364.09,3,DATA,SOFT2,1032,2710
1739686364.11,1,DATA,SOFT2,1087,2827
1739686364.28,2,DATA,SOFT2,1156,2847
1739686364.59,3,DATA,SOFT2,1532,2710
1739686364.61,1,DATA,SOFT2,1587,2827
1739686364.78,2,DATA,SOFT2,1656,2847
1739686365.09,3,DATA,SOFT2,2032,2710
1739686365.11,1,DATA,SOFT2,2087,2827
1739686365.21,2,DATA,SOFT2,2156,2847
1739686365.59,3,DATA,SOFT2,2532,2710
1739686365.61,1,DATA,SOFT2,2587,2827
1739686365.71,2,DATA,SOFT2,2656,2847
1739686423.61,1,DATA,SOFT2,596,2823
1739686423.65,2,DATA,SOFT2,591,2846
1739686423.67,3,DATA,SOFT2,609,2712
1739686424.11,1,DATA,SOFT2,1096,2823
1739686424.15,2,DATA,SOFT2,1091,2846
1739686424.21,3,DATA,SOFT2,1109,2712
1739686424.61,1,DATA,SOFT2,1596,2823
1739686424.65,2,DATA,SOFT2,1591,2846
1739686424.67,3,DATA,SOFT2,1609,2713
1739686425.11,1,DATA,SOFT2,2096,2823
1739686425.15,2,DATA,SOFT2,2091,2846
1739686425.17,3,DATA,SOFT2,2109,2712
1739686425.61,1,DATA,SOFT2,2596,2823
1739686425.65,2,DATA,SOFT2,2591,2846
1739686425.67,3,DATA,SOFT2,2609,2712
1739686483.61,1,DATA,SOFT2,598,2822
1739686483.65,3,DATA,SOFT2,583,2714
1739686483.73,2,DATA,SOFT2,608,2844
1739686484.11,1,DATA,SOFT2,1098,2822
1739686484.15,3,DATA,SOFT2,1083,2714
1739686484.23,2,DATA,SOFT2,1108,2844
1739686484.61,1,DATA,SOFT2,1598,2822
1739686484.65,3,DATA,SOFT2,1583,2714
1739686484.73,2,DATA,SOFT2,1608,2844
1739686485.11,1,DATA,SOFT2,2098,2821
1739686485.15,3,DATA,SOFT2,2083,2714
1739686485.23,2,DATA,SOFT2,2108,2844
1739686485.61,1,DATA,SOFT2,2598,2821
1739686485.65,3,DATA,SOFT2,2583,2714
1739686485.73,2,DATA,SOFT2,2608,2845
1739686543.57,2,DATA,SOFT2,514,2843
1739686543.59,1,DATA,SOFT2,561,2820
1739686543.70,3,DATA,SOFT2,517,2716
1739686544.07,2,DATA,SOFT2,1014,2843
1739686544.09,1,DATA,SOFT2,1061,2820
1739686544.20,3,DATA,SOFT2,1017,2715
1739686544.57,2,DATA,SOFT2,1514,2843
1739686544.59,1,DATA,SOFT2,1561,2820
1739686544.70,3,DATA,SOFT2,1517,2716
1739686545.07,2,DATA,SOFT2,2014,2843
1739686545.09,1,DATA,SOFT2,2061,2820
1739686545.20,3,DATA,SOFT2,2017,2715
1739686545.57,2,DATA,SOFT2,2514,2843
1739686545.59,1,DATA,SOFT2,2561,2820
1739686545.70,3,DATA,SOFT2,2517,2715
1739686603.61,3,DATA,SOFT2,566,2718
1739686603.72,1,DATA,SOFT2,643,2818
1739686603.74,2,DATA,SOFT2,587,2841
1739686604.11,3,DATA,SOFT2,1066,2717
1739686604.22,1,DATA,SOFT2,1143,2818
1739686604.24,2,DATA,SOFT2,1087,2841
1739686604.61,3,DATA,SOFT2,1566,2718
1739686604.72,1,DATA,SOFT2,1643,2819
1739686604.74,2,DATA,SOFT2,1587,2841
1739686605.11,3,DATA,SOFT2,2066,2718
1739686605.22,1,DATA,SOFT2,2143,2818
1739686605.24,2,DATA,SOFT2,2087,2841
1739686605.61,3,DATA,SOFT2,2566,2718
1739686605.72,1,DATA,SOFT2,2643,2818
1739686605.74,2,DATA,SOFT2,2587,2842
1739686663.65,2,DATA,SOFT2,568,2841
1739686663.68,3,DATA,SOFT2,561,2719
1739686663.70,1,DATA,SOFT2,657,2816
1739686664.15,2,DATA,SOFT2,1068,2841
1739686664.18,3,DATA,SOFT2,1061,2719
1739686664.20,1,DATA,SOFT2,1157,2816
1739686664.65,2,DATA,SOFT2,1568,2841
1739686664.68,3,DATA,SOFT2,1561,2719
1739686664.70,1,DATA,SOFT2,1657,2816
1739686665.15,2,DATA,SOFT2,2068,2841
1739686665.18,3,DATA,SOFT2,2061,2719
1739686665.20,1,DATA,SOFT2,2157,2816
1739686665.65,2,DATA,SOFT2,2568,2841
1739686665.68,3,DATA,SOFT2,2561,2719
1739686665.70,1,DATA,SOFT2,2657,2816
1739686723.59,2,DATA,SOFT2,529,2840
1739686723.68,1,DATA,SOFT2,652,2815
1739686723.71,3,DATA,SOFT2,641,2720
1739686724.09,2,DATA,SOFT2,1029,2840
1739686724.18,1,DATA,SOFT2,1152,2815
1739686724.21,3,DATA,SOFT2,1141,2721
1739686724.59,2,DATA,SOFT2,1529,2840
1739686724.68,1,DATA,SOFT2,1652,2815
1739686724.71,3,DATA,SOFT2,1641,2721
1739686725.09,2,DATA,SOFT2,2029,2840
1739686725.18,1,DATA,SOFT2,2152,2815
1739686725.21,3,DATA,SOFT2,2141,2721
1739686725.59,2,DATA,SOFT2,2529,2840
1739686725.68,1,DATA,SOFT2,2652,2815
1739686725.71,3,DATA,SOFT2,2641,2721
1739686783.59,1,DATA,SOFT2,569,2811
1739686783.62,3,DATA,SOFT2,535,2722
1739686783.69,2,DATA,SOFT2,637,2837
1739686784.09,1,DATA,SOFT2,1069,2811
1739686784.12,3,DATA,SOFT2,1035,2723
1739686784.19,2,DATA,SOFT2,1137,2837
1739686784.59,1,DATA,SOFT2,1569,2811
1739686784.62,3,DATA,SOFT2,1535,2723
1739686784.69,2,DATA,SOFT2,1637,2837
1739686785.08,1,DATA,SOFT2,2069,2811
1739686785.12,3,DATA,SOFT2,2035,2722
