millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
231081,1668628028.60,189.44,323.75,175.55, 
231487,1668628029.00,171.16,311.79,166.87, 
231872,1668628029.40,137.09,261.59,158.02, 
232271,1668628029.80,91.80,230.52,26.50, 
232681,1668628030.20,53.55,134.63,-166.77, 
233078,1668628030.60,-122.19,101.14,-376.70, 
233490,1668628031.00,-228.23,85.99,-348.43, 
233873,1668628031.40,-196.25,-27.82,-361.66, 
234278,1668628031.80,-134.41,-104.89,-296.61, 
234670,1668628032.20,-112.27,-117.75,-59.82, 
235069,1668628032.60,-90.94,-127.89,38.07, 
235489,1668628033.00,57.26,-167.72,-30.28, 
235882,1668628033.40,192.31,-198.17,-46.33, 
236271,1668628033.80,122.50,-220.22,-76.36, 
236673,1668628034.20,64.92,-186.57,-160.63, 
237070,1668628034.60,18.30,-123.91,-198.80, 
237488,1668628035.00,-82.88,-137.50,-262.35, 
237877,1668628035.40,-177.26,-228.73,-299.84, 
238266,1668628035.80,-120.92,-231.65,-184.70, 
238665,1668628036.20,-55.51,-181.24,20.33, 
239069,1668628036.60,-94.90,-121.05,137.63, 
239474,1668628037.00,-59.13,-37.13,141.74, 
239867,1668628037.40,20.22,-2.01,189.81, 
240271,1668628037.80,101.57,-21.94,238.80, 
240674,1668628038.20,118.39,44.04,235.37, 
241074,1668628038.60,84.78,96.15,181.63, 
241491,1668628039.00,25.67,21.52,134.90, 
241868,1668628039.40,-52.64,-5.71,118.72, 
242268,1668628039.80,-112.38,-27.42,167.43, 
242665,1668628040.20,-28.87,-110.30,130.16, 
243060,1668628040.60,9.66,-124.15,-0.48, 
243472,1668628041.00,11.35,-165.26,-70.10, 
243867,1668628041.40,46.05,-96.63,4.59, 
244264,1668628041.80,203.00,-5.62,133.53, 
244664,1668628042.20,326.62,19.24,92.12, 
245069,1668628042.60,245.31,72.75,11.34, 
245469,1668628043.00,192.33,98.00,-3.70, 
245858,1668628043.40,162.92,84.75,3.86, 
246269,1668628043.80,104.55,105.16,-58.23, 
246667,1668628044.20,103.58,152.91,-19.30, 
247066,1668628044.60,164.59,90.90,52.45, 
247465,1668628045.00,115.58,22.49,-59.34, 
247857,1668628045.40,73.93,16.52,-191.67, 
248256,1668628045.80,70.21,27.65,-219.44, 
248659,1668628046.20,-62.22,20.06,-182.16, 
249067,1668628046.60,-167.21,62.84,-128.11, 
249468,1668628047.00,-72.60,78.88,-48.17, 
249864,1668628047.40,-11.11,90.01,83.99, 
250263,1668628047.80,54.69,179.95,285.50, 
250662,1668628048.20,154.63,214.75,274.32, 
251064,1668628048.60,263.51,122.94,125.50, 
