millis,type,message
3912487571,INFO,powerData | solI: 0.00
3912487591,INFO,powerData | battV: 4.11
3912487614,INFO,powerData | battI: -0.07
3912487634,INFO,powerData | busV: 4.10
3912487655,INFO,powerData | busI: 0.06
3912487675,INFO,powerData | BQ status reg: 0
3912487696,INFO,powerData | Fault reg: 0
3912487720,INFO,powerData | Charge status: 0
3912487745,INFO,powerData | DPM status: 0
3912501391,INFO,Starting analysis m: 1087 t: 1 e: 25
3912501671,WARN,Disabling IridiumMessageSender transmissions
3912503025,INFO,Completed analysis m: 1087 t: 1 e: 25
3912503054,INFO,Enabling IridiumMessageSender transmissions
3912552544,INFO,Starting analysis m: 1087 t: 1 e: 26
3912552863,WARN,Disabling IridiumMessageSender transmissions
3912554162,INFO,Completed analysis m: 1087 t: 1 e: 26
3912554186,INFO,Enabling IridiumMessageSender transmissions
3912603682,INFO,Starting analysis m: 1087 t: 1 e: 27
3912603965,WARN,Disabling IridiumMessageSender transmissions
3912605282,INFO,Completed analysis m: 1087 t: 1 e: 27
3912605306,INFO,Enabling IridiumMessageSender transmissions
3912654839,INFO,Starting analysis m: 1087 t: 1 e: 28
3912655122,WARN,Disabling IridiumMessageSender transmissions
3912656422,INFO,Completed analysis m: 1087 t: 1 e: 28
3912656447,INFO,Enabling IridiumMessageSender transmissions
3912705988,INFO,Starting analysis m: 1087 t: 1 e: 29
3912706289,WARN,Disabling IridiumMessageSender transmissions
3912707588,INFO,Completed analysis m: 1087 t: 1 e: 29
3912707612,INFO,Enabling IridiumMessageSender transmissions
3912757131,INFO,Starting analysis m: 1087 t: 1 e: 30
3912757422,WARN,Disabling IridiumMessageSender transmissions
3912758800,INFO,Completed analysis m: 1087 t: 1 e: 30
3912758824,INFO,Enabling IridiumMessageSender transmissions
3912787554,INFO,powerData | solV: 0.00
3912787576,INFO,powerData | solI: 0.00
3912787597,INFO,powerData | battV: 4.11
3912787617,INFO,powerData | battI: -0.09
3912787638,INFO,powerData | busV: 4.10
3912787658,INFO,powerData | busI: 0.08
3912787679,INFO,powerData | BQ status reg: 0
3912787703,INFO,powerData | Fault reg: 0
3912787724,INFO,powerData | Charge status: 0
3912787744,INFO,powerData | DPM status: 0
3912808275,INFO,Starting analysis m: 1087 t: 1 e: 31
3912808558,WARN,Disabling IridiumMessageSender transmissions
3912809865,INFO,Completed analysis m: 1087 t: 1 e: 31
3912809889,INFO,Enabling IridiumMessageSender transmissions
3912843198,INFO,Max CNO changed from 46 to 49
3912859416,INFO,Starting analysis m: 1087 t: 1 e: 32
3912859705,WARN,Disabling IridiumMessageSender transmissions
3912861016,INFO,Completed analysis m: 1087 t: 1 e: 32
3912861050,INFO,Processing stats m: 1087 t: 1 e: 33
3912867059,INFO,Finished collection for m: 1087 in 1748
3912867084,INFO,Submitting 48 byte / 378 bit message: 
3912867139,DEBUG,m 127 sub to Q at i 0 count: 127
3912867162,DEBUG,1 msgs in Q
3912867209,INFO,Enabling IridiumMessageSender transmissions
3912867244,DEBUG,Sending Q index: 0 id: 127
3912878325,INFO,Send complete: Q index: 0 count_id 127
3912883152,INFO,Max CNO changed from 49 to 46
3912918906,INFO,Starting collection m: 1088 t: 0 at 1651563391.20
3912937611,INFO,Submitting 19 byte / 150 bit SMC message: 
3912937654,DEBUG,m 128 sub to Q at i 0 count: 128
3912937680,DEBUG,1 msgs in Q
3912937832,DEBUG,Sending Q index: 0 id: 128
3912942907,INFO,Send complete: Q index: 0 count_id 128
3913020850,INFO,Starting analysis m: 1088 t: 0 e: 0
3913021132,WARN,Disabling IridiumMessageSender transmissions
3913022191,INFO,Completed analysis m: 1088 t: 0 e: 0
3913022216,INFO,Enabling IridiumMessageSender transmissions
3913072009,INFO,Starting analysis m: 1088 t: 0 e: 1
3913072300,WARN,Disabling IridiumMessageSender transmissions
3913073633,INFO,Completed analysis m: 1088 t: 0 e: 1
3913073657,INFO,Enabling IridiumMessageSender transmissions
3913087574,INFO,powerData | solV: 0.00
3913087596,INFO,powerData | solI: 0.00
3913087617,INFO,powerData | battV: 4.11
3913087639,INFO,powerData | battI: -0.08
3913087662,INFO,powerData | busV: 4.10
3913087682,INFO,powerData | busI: 0.07
3913087707,INFO,powerData | BQ status reg: 0
3913087729,INFO,powerData | Fault reg: 0
3913087750,INFO,powerData | Charge status: 0
3913087770,INFO,powerData | DPM status: 0
3913123141,INFO,Starting analysis m: 1088 t: 0 e: 2
3913123422,WARN,Disabling IridiumMessageSender transmissions
3913124780,INFO,Completed analysis m: 1088 t: 0 e: 2
3913124804,INFO,Enabling IridiumMessageSender transmissions
3913174300,INFO,Starting analysis m: 1088 t: 0 e: 3
3913174597,WARN,Disabling IridiumMessageSender transmissions
3913175898,INFO,Completed analysis m: 1088 t: 0 e: 3
3913175924,INFO,Enabling IridiumMessageSender transmissions
3913225447,INFO,Starting analysis m: 1088 t: 0 e: 4
3913225728,WARN,Disabling IridiumMessageSender transmissions
3913227028,INFO,Completed analysis m: 1088 t: 0 e: 4
3913227055,INFO,Enabling IridiumMessageSender transmissions
3913276596,INFO,Starting analysis m: 1088 t: 0 e: 5
3913276876,WARN,Disabling IridiumMessageSender transmissions
3913278177,INFO,Completed analysis m: 1088 t: 0 e: 5
