millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
205775,1739685471.80,-14.86,64.23,25.29,
206175,1739685472.20,-29.96,77.56,17.48,
206576,1739685472.60,-27.34,51.85,14.90,
206976,1739685473.00,-40.96,44.45,9.37,
207376,1739685473.40,-52.09,35.70,1.58,
207777,1739685473.80,-76.13,42.95,-4.32,
208174,1739685474.20,-64.37,45.81,-6.79,
208575,1739685474.60,-69.65,44.98,-22.55,
208975,1739685475.00,-73.22,41.11,-40.57,
209377,1739685475.40,-75.25,34.78,-41.21,
209775,1739685475.80,-60.73,26.53,-48.42,
210175,1739685476.20,-48.36,-0.15,-57.10,
210575,1739685476.60,-37.90,-24.11,-58.66,
210975,1739685477.00,-29.17,-28.41,-59.76,
211375,1739685477.40,-21.96,-50.83,-55.93,
211777,1739685477.80,-0.01,-53.30,-56.17,
212176,1739685478.20,1.12,-56.68,-60.49,
212577,1739685478.60,17.70,-60.67,-54.50,
212978,1739685479.00,14.12,-82.00,-47.42,
213376,1739685479.40,26.60,-99.71,-48.47,
213775,1739685479.80,19.48,-114.03,-41.65,
214176,1739685480.20,28.92,-141.29,-30.37,
214576,1739685480.60,35.33,-162.07,-26.40,
214976,1739685481.00,55.19,-193.98,-15.83,
215375,1739685481.40,69.24,-216.89,-1.03,
215777,1739685481.80,78.22,-231.78,15.98,
216176,1739685482.20,82.83,-239.59,27.26,
216575,1739685482.60,67.61,-257.27,32.78,
216975,1739685483.00,68.86,-249.91,38.01,
217375,1739685483.40,67.09,-254.40,37.51,
217776,1739685483.80,62.80,-251.79,42.22,
218176,1739685484.20,56.47,-243.11,45.59,
218577,1739685484.60,32.42,-213.21,39.72,
218978,1739685485.00,26.77,-198.72,31.89,
219376,1739685485.40,19.82,-196.49,28.87,
219776,1739685485.80,11.91,-187.64,27.96,
220176,1739685486.20,19.42,-189.38,33.18,
220577,1739685486.60,-9.20,-183.07,36.02,
220977,1739685487.00,-17.94,-170.03,30.60,
221378,1739685487.40,-26.68,-151.47,23.08,
221778,1739685487.80,-35.23,-128.50,19.37,
222177,1739685488.20,-43.44,-102.11,24.13,
222576,1739685488.60,-51.19,-89.30,26.62,
222978,1739685489.00,-58.36,-71.26,28.96,
223377,1739685489.40,-64.89,-16.93,36.47,
223803,1739685489.80,-70.69,17.31,41.64,
224178,1739685490.20,-91.81,34.89,41.18,
224578,1739685490.60,-92.48,71.05,38.84,
224979,1739685491.00,-108.82,89.27,35.87,
225376,1739685491.40,-137.23,124.97,46.68,
225778,1739685491.80,-126.29,157.84,39.64,
226178,1739685492.20,-132.11,187.72,35.35,
226578,1739685492.60,-151.05,214.48,26.12,
226978,1739685493.00,-147.74,238.02,9.50,
227380,1739685493.40,-142.50,225.26,1.57,
227779,1739685493.80,-119.52,249.60,-9.08,
228177,1739685494.20,-114.79,253.83,-12.76,
228577,1739685494.60,-108.50,257.67,-22.39,
228978,1739685495.00,-84.82,260.89,-41.95,
229377,1739685495.40,-63.62,263.26,-52.04,
229778,1739685495.80,-60.81,247.64,-64.98,
230180,1739685496.20,-56.57,251.61,-58.42,
230579,1739685496.60,-51.14,236.95,-47.90,
230978,1739685497.00,-60.84,224.38,-40.63,
231379,1739685497.40,-50.14,213.45,-42.33,
231779,1739685497.80,-55.35,203.81,-46.67,
232180,1739685498.20,-56.98,212.12,-45.81,
232579,1739685498.60,-55.55,184.31,-48.78,
232980,1739685499.00,-35.46,194.01,-35.04,
233379,1739685499.40,-32.89,167.15,-31.37,
233781,1739685499.80,-28.21,160.46,-26.86,
234182,1739685500.20,-5.73,153.73,-8.33,
234579,1739685500.60,-1.54,163.86,4.98,
234979,1739685501.00,-11.13,170.03,4.00,
235379,1739685501.40,-1.09,155.63,-0.38,
235778,1739685501.80,9.38,141.75,3.34,
236179,1739685502.20,4.83,128.30,9.91,
236579,1739685502.60,18.81,132.23,9.67,
236980,1739685503.00,17.02,132.75,7.55,
237381,1739685503.40,2.66,113.28,13.79,
237782,1739685503.80,9.01,127.99,23.90,
238182,1739685504.20,1.50,103.39,27.06,
238580,1739685504.60,-1.70,97.58,29.88,
238980,1739685505.00,-1.28,89.74,25.20,
239380,1739685505.40,2.11,80.19,19.03,
239781,1739685505.80,7.89,69.25,16.23,
240182,1739685506.20,-0.56,73.29,9.03,
240581,1739685506.60,12.02,56.85,2.91,
240979,1739685507.00,25.17,56.31,4.02,
241380,1739685507.40,38.55,36.14,-1.61,
241780,1739685507.80,51.85,-0.43,-7.16,
242181,1739685508.20,64.82,-15.55,-1.80,
242581,1739685508.60,61.13,-30.24,3.26,
242983,1739685509.00,76.33,-61.36,3.49,
243385,1739685509.40,90.24,-88.06,2.53,
243809,1739685509.80,102.74,-93.68,3.30,
244189,1739685510.20,97.69,-116.23,5.43,
244581,1739685510.60,110.76,-117.89,4.14,
244981,1739685511.00,121.89,-119.69,2.80,
245381,1739685511.40,131.12,-138.50,-9.29,
245781,1739685511.80,138.47,-153.47,-10.96,
246182,1739685512.20,144.00,-181.03,-6.01,
246583,1739685512.60,162.98,-185.77,1.46,
246983,1739685513.00,161.75,-171.03,-5.30,
247381,1739685513.40,159.31,-174.79,-3.65,
247784,1739685513.80,139.65,-192.24,-13.17,
248183,1739685514.20,138.58,-187.90,-24.27,
248582,1739685514.60,120.05,-198.16,-22.09,
248984,1739685515.00,119.90,-203.58,-18.19,
249384,1739685515.40,118.23,-188.66,-8.51,
249783,1739685515.80,115.17,-189.69,-6.01,
250183,1739685516.20,110.88,-187.14,-11.98,
250582,1739685516.60,105.49,-181.52,-16.55,
250983,1739685517.00,114.33,-157.22,-16.31,
255382,1739685520.40,0.00,0.00,0.00,I
255782,1739685520.80,-31.28,0.00,-0.89,I
256183,1739685521.20,-39.57,16.09,-5.16,I
256581,1739685521.60,-61.36,12.54,-4.90,I
256983,1739685522.00,-61.26,25.47,3.48,I
257383,1739685522.40,-75.68,19.14,7.45,I
257783,1739685522.80,-69.16,13.54,2.44,I
258183,1739685523.20,-78.04,24.73,-1.63,I
258583,1739685523.60,-66.78,16.91,-4.86,I
258984,1739685524.00,-71.66,26.18,2.49,I
259383,1739685524.40,-41.91,16.72,-0.61,I
259783,1739685524.80,-31.38,8.51,3.19,I
260183,1739685525.20,-37.33,17.54,-9.03,I
260583,1739685525.60,-24.09,24.08,-17.73,I
260983,1739685526.00,-11.77,12.35,-10.89,I
261383,1739685526.40,-16.49,2.29,-12.27,I
261782,1739685526.80,-18.62,9.84,-13.04,I
262184,1739685527.20,-2.49,-0.85,-13.29,I
262585,1739685527.60,-4.18,-9.85,-9.51,
262983,1739685528.00,-4.00,-1.22,-11.51,
263383,1739685528.40,-2.29,-10.82,-10.03,
263809,1739685528.80,0.66,-18.75,3.15,
264184,1739685529.20,20.67,-25.15,6.69,
264583,1739685529.60,37.85,-30.17,12.23,
264983,1739685530.00,36.29,-17.85,11.21,
265385,1739685530.40,51.90,-24.05,12.98,
265785,1739685530.80,64.82,-28.85,9.79,
266185,1739685531.20,59.17,-32.39,10.72,
266584,1739685531.60,70.85,-18.71,15.81,
266982,1739685532.00,80.02,-23.68,11.61,
267384,1739685532.40,70.82,-11.28,0.91,
267785,1739685532.80,63.07,-17.37,-4.93,
268185,1739685533.20,56.58,-22.05,-20.16,
268585,1739685533.60,67.26,-25.48,-25.58,
