millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
millis,GPS_Epoch_Time(s),outx(mm),outy(mm),outz(mm)
249627,1739944917.80,83.69,-49.25,-55.13,
250027,1739944918.20,79.34,-107.28,-43.16,
250427,1739944918.60,41.57,-263.12,-40.08,
250829,1739944919.00,23.24,-314.49,-35.98,
251230,1739944919.40,-41.80,-492.78,-30.10,
251629,1739944919.80,-111.65,-687.41,-9.34,
252030,1739944920.20,-135.56,-792.12,16.78,
252428,1739944920.60,-154.18,-837.80,36.01,
252828,1739944921.00,-216.28,-966.55,61.00,
253234,1739944921.40,-279.52,-1041.89,78.49,
253628,1739944921.80,-309.82,-1105.50,103.89,
254027,1739944922.20,-328.75,-1122.99,127.92,
254430,1739944922.60,-337.73,-1102.53,144.90,
254830,1739944923.00,-498.94,-1429.49,164.69,
255231,1739944923.40,-504.62,-1432.67,194.22,
255631,1739944923.80,-561.67,-1585.16,203.95,
256028,1739944924.20,-464.82,-1391.51,212.55,
256428,1739944924.60,-358.48,-1135.80,217.17,
256827,1739944925.00,-262.26,-899.97,209.29,
257228,1739944925.40,-175.68,-667.38,205.62,
257629,1739944925.80,-146.55,-506.20,195.31,
258030,1739944926.20,-99.41,-371.50,193.05,
258428,1739944926.60,-70.70,-309.97,184.52,
258829,1739944927.00,-24.95,-225.29,170.89,
259228,1739944927.40,-30.66,-205.26,163.94,
