epoch,link,log type,data
0,0,BSYS,4,INFO,Firmware SHA: 526A32BB
0.00,2,DATA,SOFT2,34110,2688
0.00,3,DATA,SOFT2,34517,2708
0.00,1,DATA,SOFT2,34564,2685
0.00,2,DATA,SOFT2,34610,2689
0.00,3,DATA,SOFT2,35017,2708
0.00,1,DATA,SOFT2,35064,2685
0.00,2,DATA,SOFT2,35110,2689
0.00,3,DATA,SOFT2,35517,2708
0.00,1,DATA,SOFT2,35564,2686
0.00,2,DATA,SOFT2,35610,2689
0.00,3,DATA,SOFT2,36017,2708
0.00,1,DATA,SOFT2,36064,2685
0.00,2,DATA,SOFT2,36110,2688
0.00,3,DATA,SOFT2,36517,2708
0.00,1,DATA,SOFT2,36564,2685
0.00,2,DATA,SOFT2,36610,2689
0.00,3,DATA,SOFT2,37017,2708
0.00,1,DATA,SOFT2,37064,2685
0.00,2,DATA,SOFT2,37110,2689
0.00,3,DATA,SOFT2,37517,2708
0.00,1,DATA,SOFT2,37564,2685
0.00,2,DATA,SOFT2,37610,2689
0.00,3,DATA,SOFT2,38017,2708
0.00,1,DATA,SOFT2,38064,2685
0.00,2,DATA,SOFT2,38110,2689
0.00,3,DATA,SOFT2,38517,2708
0.00,1,DATA,SOFT2,38564,2685
0.00,2,DATA,SOFT2,38610,2689
0.00,3,DATA,SOFT2,39017,2708
0.00,1,DATA,SOFT2,39064,2685
0.00,2,DATA,SOFT2,39110,2689
0.00,3,DATA,SOFT2,39517,2708
0.00,1,DATA,SOFT2,39564,2686
0.00,3,DATA,SOFT2,39517,2708
0.00,2,DATA,SOFT2,39610,2688
0.00,3,DATA,SOFT2,40017,2708
0.00,1,DATA,SOFT2,40064,2685
0.00,2,DATA,SOFT2,40110,2689
0.00,3,DATA,SOFT2,40517,2708
0.00,1,DATA,SOFT2,40564,2685
0.00,2,DATA,SOFT2,40610,2689
0.00,3,DATA,SOFT2,41017,2708
0.00,1,DATA,SOFT2,41064,2685
0.00,2,DATA,SOFT2,41110,2689
0.00,0,BSYS,43575,INFO,etmark 1739944715
1739944715.00,0,BSYS,43585,INFO,sa et 1739944715
1739944715.00,0,BSYS,43586,INFO,next sa et 1739945915
1739944715.00,0,BSYS,43586,INFO,setup mes TO to 7263585
1739944715.00,0,BSYS,43588,INFO,ss et 1739944715
1739944715.02,0,BSYS,43591,INFO,disable SM bus
1739944715.02,0,BSYS,43592,INFO,next ss et 1739944775
1739944725.13,0,BSYS,53576,INFO,etmark 1739944725
1739944735.00,0,BSYS,63579,INFO,etmark 1739944735
1739944745.00,0,BSYS,73579,INFO,etmark 1739944745
1739944755.00,0,BSYS,83583,INFO,etmark 1739944755
1739944765.00,0,BSYS,93582,INFO,etmark 1739944765
1739944775.00,0,BSYS,103575,INFO,enable SM bus
1739944775.00,0,BSYS,103576,INFO,ss until ms 108576
1739944775.00,0,BSYS,103588,INFO,etmark 1739944775
